x,y,z,longitude,latitude,speed,sound,timestamp,type,
3.0896,8.27682,6.73529,87.2923,23.5453,1.35,76.7946,1.5015e+12,pot holes,
1.14107,9.41083,8.24689,87.2923,23.5453,1.35,76.7946,1.5015e+12,pot holes,
4.87346,9.33723,11.5465,87.2923,23.5453,1.35,76.7946,1.5015e+12,pot holes,
-0.182938,10.7116,7.22145,87.2923,23.5453,1.35,76.7946,1.5015e+12,pot holes,
-0.169205,10.0749,5.25693,87.2923,23.5453,1.35,76.7946,1.5015e+12,pot holes,
1.6875,9.03551,6.63046,87.2923,23.5453,1.35,77.7041,1.5015e+12,pot holes,
0.171494,11.1147,8.63129,87.2923,23.5453,1.35,77.7041,1.5015e+12,pot holes,
1.55411,9.7321,12.0981,87.2923,23.5453,1.35,77.7041,1.5015e+12,pot holes,
-0.177551,10.2975,4.53723,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
-2.89787,9.96808,1.5152,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
1.12514,9.77345,2.87866,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
-1.284,9.94809,2.1263,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
0.0829468,9.94296,3.00089,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
0.355103,9.04053,2.83144,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
-1.99535,9.28069,5.35568,87.2923,23.5453,1.35,77.7041,1.5015e+12,pot holes,
1.39375,8.6315,3.97516,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
1.67085,8.20088,2.29706,87.2923,23.5453,1.35,77.7041,1.5015e+12,smooth road,
-0.393387,7.78185,4.01842,87.2923,23.5453,1.35,73.6884,1.5015e+12,smooth road,
2.01787,8.82027,2.80556,87.2923,23.5453,1.35,73.6884,1.5015e+12,smooth road,
-0.0528107,8.15724,-3.66171,87.2923,23.5453,1.35,73.6884,1.5015e+12,smooth road,
-2.733,11.3751,0.255585,87.2923,23.5453,1.35,73.6884,1.5015e+12,smooth road,
-1.26042,12.7223,-7.22368,87.2923,23.5453,1.35,73.6884,1.5015e+12,pot holes,
-1.64958,8.04099,-11.5184,87.2923,23.5453,1.35,73.6884,1.5015e+12,pot holes,
0.876007,9.66289,8.65749,87.2923,23.5453,1.35,73.6884,1.5015e+12,pot holes,
1.85216,11.2787,9.26367,87.2923,23.5453,2.17,73.6884,1.5015e+12,pot holes,
5.35402,7.37784,20.881,87.2923,23.5453,2.17,73.6884,1.5015e+12,bumpers,
0.805862,13.6337,-0.894897,87.2923,23.5453,2.17,73.6884,1.5015e+12,smooth road,
0.216904,5.24019,-12.4348,87.2923,23.5453,2.17,73.6884,1.5015e+12,pot holes,
4.83711,6.49037,14.5481,87.2923,23.5453,2.17,73.6884,1.5015e+12,bumpers,
3.75113,15.5976,-2.19919,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
-1.81277,6.55403,0.51767,87.2923,23.5453,2.17,76.5135,1.5015e+12,smooth road,
