xaxis,yaxis,zaxis,latituse,longitude,speed,sound,timestamp
-1.1224365,9.428574,-0.97314453,23.55541596,87.29100395,0.4,65.8101392810839,1501499718024
-0.5619812,8.942123,1.6086121,23.55541596,87.29100395,0.4,65.8101392810839,1501499718044
-1.2851868,9.57373,-0.2837677,23.55541596,87.29100395,0.4,65.8101392810839,1501499718061
-0.41947937,10.5325165,0.6939087,23.55541596,87.29100395,0.4,65.8101392810839,1501499718079
-1.5149689,9.620209,-0.9506836,23.55541596,87.29100395,0.4,65.8101392810839,1501499718098
-0.7817383,8.7855835,1.8096313,23.55541596,87.29100395,0.4,65.8101392810839,1501499718117
-1.070755,9.622437,0.55285645,23.55542075,87.29100247,0,65.8101392810839,1501499718135
0.25302124,9.576981,-0.5333252,23.55542075,87.29100247,0,65.8101392810839,1501499718154
-0.61990356,9.327362,-0.8296356,23.55542075,87.29100247,0,65.8101392810839,1501499718172
-1.2244568,8.830917,0.63108826,23.55542075,87.29100247,0,65.8101392810839,1501499718194
-0.4521942,9.5229645,0.04637146,23.55542075,87.29100247,0,65.8101392810839,1501499718211
0.04586792,9.572372,0.55848694,23.55542075,87.29100247,0,65.8101392810839,1501499718229
-0.75183105,9.214294,-1.7272797,23.55542075,87.29100247,0,73.6173748534833,1501499718267
-0.28755188,8.946396,1.2907104,23.55542075,87.29100247,0,73.6173748534833,1501499718296
-0.65286255,9.631149,0.35620117,23.55542075,87.29100247,0,73.6173748534833,1501499718307
-0.038406372,9.542313,0.38101196,23.55542075,87.29100247,0,73.6173748534833,1501499718326
-0.36120605,9.502701,-0.5794983,23.55542075,87.29100247,0,73.6173748534833,1501499718343
-0.76119995,8.927032,0.7940521,23.55542075,87.29100247,0,73.6173748534833,1501499718365
-0.5159149,9.384659,0.78440857,23.55542075,87.29100247,0,73.6173748534833,1501499718383
0.33503723,9.186325,0.08087158,23.55542075,87.29100247,0,73.6173748534833,1501499718404
-0.36860657,9.858719,-0.104904175,23.55542075,87.29100247,0,73.6173748534833,1501499718426
-0.4736786,9.610367,0.8010254,23.55542075,87.29100247,0,73.6173748534833,1501499718444
-0.3855896,9.379227,0.64453125,23.55542075,87.29100247,0,73.6173748534833,1501499718461
0.2013855,9.505905,-0.84254456,23.55542075,87.29100247,0,73.6173748534833,1501499718484
-0.020324707,9.995941,-0.6185303,23.55542075,87.29100247,0,73.6173748534833,1501499718497
-0.5376587,9.670929,0.42190552,23.55542075,87.29100247,0,73.6173748534833,1501499718525
0.186203,9.263168,0.6953125,23.55542075,87.29100247,0,73.6173748534833,1501499718533
-0.3563385,9.026398,-0.14282227,23.55542075,87.29100247,0,73.6173748534833,1501499718552
-0.21316528,10.0269165,-0.2264862,23.55542075,87.29100247,0,73.6173748534833,1501499718588
-0.06855774,9.382477,0.9356537,23.55542075,87.29100247,0,73.6173748534833,1501499718607
-0.13139343,9.013611,-0.050460815,23.55542075,87.29100247,0,73.6173748534833,1501499718624
-0.7053375,9.231079,0.15785217,23.55542075,87.29100247,0,73.6173748534833,1501499718644
-0.6896057,9.794601,-0.05567932,23.55542075,87.29100247,0,73.6173748534833,1501499718661
-0.90792847,9.456543,0.45150757,23.55542075,87.29100247,0,73.6173748534833,1501499718682
-0.5099945,9.005112,0.017593384,23.55542075,87.29100247,0,69.5445275665121,1501499718720
-1.3191528,9.242813,-0.09768677,23.55542075,87.29100247,0,69.5445275665121,1501499718721
-0.55010986,10.155731,-0.542984,23.55542075,87.29100247,0,69.5445275665121,1501499718750
-0.8925171,9.599838,0.73384094,23.55542075,87.29100247,0,69.5445275665121,1501499718757
-0.9155731,9.097748,-1.014801,23.55542075,87.29100247,0,69.5445275665121,1501499718777
-1.1918182,9.286423,-0.05833435,23.55542075,87.29100247,0,69.5445275665121,1501499718799
-1.0361938,9.912094,0.09300232,23.55542075,87.29100247,0,69.5445275665121,1501499718812
-1.2579651,9.679642,0.5815582,23.55542075,87.29100247,0,69.5445275665121,1501499718831
-1.0330048,9.04277,-0.5624237,23.55542075,87.29100247,0,69.5445275665121,1501499718852
-1.3373413,9.257141,-0.48007202,23.55542075,87.29100247,0,69.5445275665121,1501499718873
-0.8474579,9.966492,0.8052368,23.55542075,87.29100247,0,69.5445275665121,1501499718909
-1.085083,9.6380005,-0.018203735,23.55542075,87.29100247,0,69.5445275665121,1501499718928
-1.1662903,9.208817,-0.9143219,23.55542075,87.29100247,0,69.5445275665121,1501499718943
-1.1750488,9.348633,0.07627869,23.55542075,87.29100247,0,69.5445275665121,1501499718962
-0.77005005,9.731613,0.5000305,23.55542075,87.29100247,0,69.5445275665121,1501499718983
-0.6897278,9.710815,0.60731506,23.55542075,87.29100247,0,69.5445275665121,1501499719009
-0.7692566,9.187195,-0.7679901,23.55542075,87.29100247,0,69.5445275665121,1501499719022
-0.70899963,9.224396,0.1273346,23.55542075,87.29100247,0,69.5445275665121,1501499719038
-0.039260864,9.585632,0.9502716,23.55542075,87.29100247,0,69.5445275665121,1501499719057
-0.36309814,9.529892,0.3413849,23.55542075,87.29100247,0,69.5445275665121,1501499719075
-0.4343872,9.229034,-0.6244812,23.55542075,87.29100247,0,69.5445275665121,1501499719094
-0.5080414,9.266159,0.26260376,23.55542075,87.29100247,0,69.5445275665121,1501499719115
-0.11627197,9.499344,0.96998596,23.55542075,87.29100247,0,69.5445275665121,1501499719134
-0.28511047,9.542145,0.84147644,23.55542075,87.29100247,0,69.5445275665121,1501499719153
-0.69973755,9.215317,-0.8496094,23.55542075,87.29100247,0,69.5445275665121,1501499719168
-0.9499512,9.568115,-0.30519104,23.55542438,87.29100284,0,58.6239518363725,1501499719210
-0.08911133,9.379059,0.7554474,23.55542438,87.29100284,0,58.6239518363725,1501499719226
-0.6899414,9.541519,0.17506409,23.55542438,87.29100284,0,58.6239518363725,1501499719245
-0.8148651,9.478455,-0.28204346,23.55542438,87.29100284,0,58.6239518363725,1501499719264
-0.787735,9.490402,-0.124938965,23.55542438,87.29100284,0,58.6239518363725,1501499719281
-0.5973358,9.245499,0.5553131,23.55542438,87.29100284,0,58.6239518363725,1501499719308
-0.44041443,9.548828,0.14289856,23.55542438,87.29100284,0,58.6239518363725,1501499719327
-1.2875519,9.655945,0.02420044,23.55542438,87.29100284,0,58.6239518363725,1501499719343
-0.5243225,9.256134,0.45265198,23.55542438,87.29100284,0,58.6239518363725,1501499719356
-0.9870453,9.053116,-0.19773865,23.55542438,87.29100284,0,58.6239518363725,1501499719375
-0.7541504,9.964981,0.5828552,23.55542438,87.29100284,0,58.6239518363725,1501499719394
-1.4387665,9.59108,-0.22154236,23.55542438,87.29100284,0,58.6239518363725,1501499719415
-0.6247406,9.120163,-0.097335815,23.55542438,87.29100284,0,58.6239518363725,1501499719434
-1.5488739,9.310196,-0.14294434,23.55542438,87.29100284,0,58.6239518363725,1501499719454
-0.7127533,9.887909,0.9906616,23.55542438,87.29100284,0,58.6239518363725,1501499719470
-1.3482208,9.592575,-0.8362732,23.55542438,87.29100284,0,58.6239518363725,1501499719489
-0.92170715,9.341217,0.09017944,23.55542438,87.29100284,0,58.6239518363725,1501499719526
-1.6126251,9.517944,-0.10165405,23.55542438,87.29100284,0,58.6239518363725,1501499719546
-0.5506439,9.268814,0.6916046,23.55542438,87.29100284,0,58.6239518363725,1501499719563
-1.1461945,9.73378,-0.09425354,23.55542438,87.29100284,0,58.6239518363725,1501499719582
-1.195343,9.5494995,-0.33296204,23.55542438,87.29100284,0,58.6239518363725,1501499719603
-0.89172363,9.348755,0.3802185,23.55542438,87.29100284,0,58.6239518363725,1501499719620
-0.73524475,9.067398,0.24746704,23.55542438,87.29100284,0,58.6239518363725,1501499719644
-0.7325134,9.711517,0.41983032,23.55542438,87.29100284,0,58.6239518363725,1501499719658
-1.4938049,9.73645,-0.8574524,23.55542438,87.29100284,0,61.4479805882785,1501499719675
-0.069381714,9.238007,0.9441681,23.55542438,87.29100284,0,61.4479805882785,1501499719694
-0.9425659,9.139328,-0.36036682,23.55542438,87.29100284,0,61.4479805882785,1501499719715
-0.4781189,9.920197,0.6127777,23.55542438,87.29100284,0,61.4479805882785,1501499719733
-1.115921,9.614883,-0.5161438,23.55542438,87.29100284,0,61.4479805882785,1501499719752
-0.06990051,9.198029,0.28215027,23.55542438,87.29100284,0,61.4479805882785,1501499719774
-0.7635803,9.006836,0.17155457,23.55542438,87.29100284,0,61.4479805882785,1501499719793
-0.5182953,9.932724,0.4898529,23.55542438,87.29100284,0,61.4479805882785,1501499719807
-0.7984619,9.654602,-0.12608337,23.55542438,87.29100284,0,61.4479805882785,1501499719845
-0.15486145,9.026459,-0.18797302,23.55542438,87.29100284,0,61.4479805882785,1501499719868
-0.93551636,9.253006,0.20632935,23.55542438,87.29100284,0,61.4479805882785,1501499719882
-0.40811157,9.798492,0.8556366,23.55542438,87.29100284,0,61.4479805882785,1501499719903
-0.86779785,9.658585,-0.2101593,23.55542438,87.29100284,0,61.4479805882785,1501499719926
-0.54422,9.0466,-0.33122253,23.55542438,87.29100284,0,61.4479805882785,1501499719946
-1.022171,9.244888,0.17382812,23.55542438,87.29100284,0,61.4479805882785,1501499719963
-0.5890045,9.950607,1.045044,23.55542438,87.29100284,0,61.4479805882785,1501499719976
-0.6962738,9.534637,-0.22038269,23.55542438,87.29100284,0,61.4479805882785,1501499719996
-1.096817,9.171417,-1.1144714,23.55542438,87.29100284,0,61.4479805882785,1501499720012
-0.91171265,9.3858795,0.7629547,23.55542438,87.29100284,0,61.4479805882785,1501499720031
-0.59259033,9.552109,0.70277405,23.55542438,87.29100284,0,61.4479805882785,1501499720053
-0.73179626,9.725189,0.19528198,23.55542438,87.29100284,0,61.4479805882785,1501499720078
-1.0452423,9.279633,-1.2625732,23.55542438,87.29100284,0,61.4479805882785,1501499720095
-0.7948761,9.397766,0.8476715,23.55542438,87.29100284,0,61.4479805882785,1501499720108
-0.5924225,9.481201,0.64845276,23.55542438,87.29100284,0,61.4479805882785,1501499720127
-0.57144165,9.473572,0.33647156,23.55542438,87.29100284,0,61.5876718677791,1501499720164
-1.1700134,9.462006,-1.1220703,23.55542612,87.29100333,0,61.5876718677791,1501499720183
-0.645813,9.321686,0.64894104,23.55542612,87.29100333,0,61.5876718677791,1501499720202
-0.5296173,9.315567,0.62054443,23.55542612,87.29100333,0,61.5876718677791,1501499720223
-0.6165924,9.632858,0.22953796,23.55542612,87.29100333,0,61.5876718677791,1501499720244
-1.1318665,9.422928,-1.0419922,23.55542612,87.29100333,0,61.5876718677791,1501499720263
-0.6770172,9.489914,0.6850281,23.55542612,87.29100333,0,61.5876718677791,1501499720277
-0.4099579,9.402374,0.25125122,23.55542612,87.29100333,0,61.5876718677791,1501499720297
-0.8486328,9.494034,0.5025482,23.55542612,87.29100333,0,61.5876718677791,1501499720314
